Sample	mapped_reads	mapped_reads_pct	forward_strand_pct	read_2	read_1	duplicates	both_mapped	reverse_strand_pct	duplicates_pct	reverse_strand	forward_strand	failed_qc_pct	both_mapped_pct	failed_qc	singletons	total_reads	singletons_pct	paired_end	paired_end_pct
SampID_10893	126093645.0	99.7272	49.996	63307434.0	63131144.0	0.0	125933501.0	50.004	0.0	63224314.0	63214264.0	0.0	99.6005	0.0	160144.0	126438578.0	0.126658	126438578.0	100.0
SampID_10894	126233019.0	99.8322	50.0001	63279660.0	63165577.0	0.0	126135796.0	49.9999	0.0	63222515.0	63222722.0	0.0	99.7553	0.0	97223.0	126445237.0	0.0768894	126445237.0	100.0
SampID_10895	122286359.0	99.8419	50.0008	61289999.0	61189956.0	0.0	122198035.0	49.9992	0.0	61238946.0	61241009.0	0.0	99.7698	0.0	88324.0	122479955.0	0.072113	122479955.0	100.0
SampID_11676	117007944.0	99.8899	50.0008	58603285.0	58533676.0	0.0	116944373.0	49.9992	0.0	58567573.0	58569388.0	0.0	99.8356	0.0	63571.0	117136961.0	0.0542707	117136961.0	100.0
SampID_11677	120263164.0	99.8744	50.001	60246473.0	60167885.0	0.0	120188965.0	49.999	0.0	60205920.0	60208438.0	0.0	99.8128	0.0	74199.0	120414358.0	0.0616197	120414358.0	100.0
SampID_11678	127473229.0	99.8613	50.0026	63871789.0	63778498.0	0.0	127388324.0	49.9974	0.0	63821797.0	63828490.0	0.0	99.7948	0.0	84905.0	127650287.0	0.0665138	127650287.0	100.0
SampID_13726	144717228.0	99.6683	50.0146	72715222.0	72483620.0	0.0	144499383.0	49.9854	0.0	72578171.0	72620671.0	0.0	99.5183	0.0	217845.0	145198842.0	0.150032	145198842.0	100.0
SampID_13727	128209012.0	99.6612	50.013	64422371.0	64222463.0	0.0	127999492.0	49.987	0.0	64305687.0	64339147.0	0.0	99.4984	0.0	209520.0	128644834.0	0.162867	128644834.0	100.0
SampID_13728	117779846.0	99.7215	50.0148	59123738.0	58985023.0	0.0	117619267.0	49.9852	0.0	59036851.0	59071910.0	0.0	99.5856	0.0	160579.0	118108761.0	0.135959	118108761.0	100.0
SampID_6319	125515286.0	99.5275	50.0226	63204592.0	62906635.0	0.0	125239494.0	49.9774	0.0	63027118.0	63084109.0	0.0	99.3088	0.0	275792.0	126111227.0	0.218689	126111227.0	100.0
SampID_6320	97824335.0	99.658	50.0191	49154037.0	49005977.0	0.0	97656719.0	49.9809	0.0	49061287.0	49098727.0	0.0	99.4873	0.0	167616.0	98160014.0	0.170758	98160014.0	100.0
SampID_6321	121048886.0	99.5281	50.0226	60951791.0	60671056.0	0.0	120774686.0	49.9774	0.0	60783937.0	60838910.0	0.0	99.3026	0.0	274200.0	121622847.0	0.225451	121622847.0	100.0
SampID_6737	135301421.0	96.3248	50.6926	70846066.0	69617730.0	0.0	133175182.0	49.3074	0.0	69259015.0	71204781.0	0.0	94.811	0.0	2126239.0	140463796.0	1.51373	140463796.0	100.0
SampID_6738	105721004.0	98.4826	50.2208	53877207.0	53472763.0	0.0	104863951.0	49.7792	0.0	53437921.0	53912049.0	0.0	97.6842	0.0	857053.0	107349970.0	0.798373	107349970.0	100.0
SampID_6740	134307198.0	98.853	50.0545	68362206.0	67503440.0	0.0	133659353.0	49.9455	0.0	67858767.0	68006879.0	0.0	98.3761	0.0	647845.0	135865646.0	0.476828	135865646.0	100.0
SampID_6741	108582955.0	98.813	50.0581	55275027.0	54612228.0	0.0	107937908.0	49.9419	0.0	54879790.0	55007465.0	0.0	98.226	0.0	645047.0	109887255.0	0.587008	109887255.0	100.0
SampID_6743	93514152.0	98.9118	50.0715	47497505.0	47045465.0	0.0	92988282.0	49.9285	0.0	47203924.0	47339046.0	0.0	98.3556	0.0	525870.0	94542970.0	0.556223	94542970.0	100.0
SampID_6744	93033978.0	98.9893	50.0738	47201598.0	46782302.0	0.0	92538544.0	49.9262	0.0	46922597.0	47061303.0	0.0	98.4621	0.0	495434.0	93983900.0	0.527148	93983900.0	100.0
