Sample	mapped_passed	duplicates_failed	with mate mapped to a different chr (mapQ >= 5)_passed	duplicates_passed	read2_passed	read1_failed	read1_passed	with mate mapped to a different chr_passed	total_failed	properly paired_passed_pct	singletons_passed	total_passed	singletons_passed_pct	mapped_failed_pct	mapped_passed_pct	with itself and mate mapped_failed	mapped_failed	paired in sequencing_failed	properly paired_failed	flagstat_total	properly paired_failed_pct	with mate mapped to a different chr (mapQ >= 5)_failed	with itself and mate mapped_passed	read2_failed	with mate mapped to a different chr_failed	properly paired_passed	paired in sequencing_passed	singletons_failed	singletons_failed_pct
CHH10893	126093645	0	231050	0	63307434	0	63131144	433725	0	98.9	160144	126438578	0.13	nan	99.73	0	0	0	0	126438578	nan	0	125933501	0	0	125045460	126438578	0	nan
CHH10894	126233019	0	188537	0	63279660	0	63165577	371664	0	98.98	97223	126445237	0.08	nan	99.83	0	0	0	0	126445237	nan	0	126135796	0	0	125152652	126445237	0	nan
CHH10895	122286359	0	170574	0	61289999	0	61189956	341823	0	99.15	88324	122479955	0.07	nan	99.84	0	0	0	0	122479955	nan	0	122198035	0	0	121440359	122479955	0	nan
CHH11676	117007944	0	148886	0	58603285	0	58533676	290578	0	99.17	63571	117136961	0.05	nan	99.89	0	0	0	0	117136961	nan	0	116944373	0	0	116167290	117136961	0	nan
CHH11677	120263164	0	159535	0	60246473	0	60167885	309768	0	99.17	74199	120414358	0.06	nan	99.87	0	0	0	0	120414358	nan	0	120188965	0	0	119412941	120414358	0	nan
CHH11678	127473229	0	185498	0	63871789	0	63778498	350504	0	99.13	84905	127650287	0.07	nan	99.86	0	0	0	0	127650287	nan	0	127388324	0	0	126541628	127650287	0	nan
CHH13726	144717228	0	294432	0	72715222	0	72483620	566227	0	98.47	217845	145198842	0.15	nan	99.67	0	0	0	0	145198842	nan	0	144499383	0	0	142972270	145198842	0	nan
CHH13727	128209012	0	242804	0	64422371	0	64222463	474170	0	98.61	209520	128644834	0.16	nan	99.66	0	0	0	0	128644834	nan	0	127999492	0	0	126856832	128644834	0	nan
CHH13728	117779846	0	249365	0	59123738	0	58985023	461914	0	98.64	160579	118108761	0.14	nan	99.72	0	0	0	0	118108761	nan	0	117619267	0	0	116505505	118108761	0	nan
CHH6319	125515286	0	318521	0	63204592	0	62906635	638837	0	98.33	275792	126111227	0.22	nan	99.53	0	0	0	0	126111227	nan	0	125239494	0	0	124005637	126111227	0	nan
CHH6320	97824335	0	223845	0	49154037	0	49005977	453340	0	98.53	167616	98160014	0.17	nan	99.66	0	0	0	0	98160014	nan	0	97656719	0	0	96719645	98160014	0	nan
CHH6321	121048886	0	299520	0	60951791	0	60671056	598443	0	98.33	274200	121622847	0.23	nan	99.53	0	0	0	0	121622847	nan	0	120774686	0	0	119585776	121622847	0	nan
CHH6737	135301421	0	1151902	0	70846066	0	69617730	2193998	0	92.77	2126239	140463796	1.51	nan	96.32	0	0	0	0	140463796	nan	0	133175182	0	0	130303793	140463796	0	nan
CHH6738	105721004	0	572043	0	53877207	0	53472763	1164448	0	96.14	857053	107349970	0.8	nan	98.48	0	0	0	0	107349970	nan	0	104863951	0	0	103201726	107349970	0	nan
CHH6740	134307198	0	420822	0	68362206	0	67503440	760902	0	97.41	647845	135865646	0.48	nan	98.85	0	0	0	0	135865646	nan	0	133659353	0	0	132345916	135865646	0	nan
CHH6741	108582955	0	376658	0	55275027	0	54612228	693201	0	97.33	645047	109887255	0.59	nan	98.81	0	0	0	0	109887255	nan	0	107937908	0	0	106951916	109887255	0	nan
CHH6743	93514152	0	316268	0	47497505	0	47045465	572553	0	97.34	525870	94542970	0.56	nan	98.91	0	0	0	0	94542970	nan	0	92988282	0	0	92026808	94542970	0	nan
CHH6744	93033978	0	311133	0	47201598	0	46782302	568346	0	97.49	495434	93983900	0.53	nan	98.99	0	0	0	0	93983900	nan	0	92538544	0	0	91625203	93983900	0	nan
